snapped_at,price,market_cap,total_volume
2020-12-03 00:00:00 UTC,1.9925626585734737,15634182.934290482,343345.5410244797
2020-12-04 00:00:00 UTC,1.9925626585734737,15634182.934290482,343345.5410244797
2020-12-05 00:00:00 UTC,1.940524415552986,15781808.711476142,287481.7775337675
2020-12-06 00:00:00 UTC,1.9734351490926623,15961338.056714484,213247.39046592778
2020-12-07 00:00:00 UTC,1.86864983361683,15166791.133779008,218513.0513733436
2020-12-08 00:00:00 UTC,6.814598000944544,4512216.085091221,2377416.7907478972
2020-12-09 00:00:00 UTC,6.670018375012316,4222703.705158731,3587115.329077078
2020-12-10 00:00:00 UTC,11.519770250359418,7506211.386338208,6602468.57564818
2020-12-11 00:00:00 UTC,11.595142610603585,7954602.490446905,2848692.1401888714
2020-12-12 00:00:00 UTC,8.243485481225182,5719996.169269375,2254581.2781695225
2020-12-13 00:00:00 UTC,11.327745054195265,7785724.084192917,3124277.3717915625
2020-12-14 00:00:00 UTC,11.971526436693665,9390468.92081058,1900912.322681954
2020-12-15 00:00:00 UTC,9.512518713357208,7890372.166974319,1067708.1853322305
2020-12-16 00:00:00 UTC,8.451721587017865,6923451.8979189955,1540056.0323018571
2020-12-17 00:00:00 UTC,9.018516750135548,7748326.682349972,2264232.830574313
2020-12-18 00:00:00 UTC,6.978715509943002,5872904.961498557,1143926.7843934917
2020-12-19 00:00:00 UTC,5.244221911101155,4728689.822316265,1308210.8459246515
2020-12-20 00:00:00 UTC,6.8464229108529455,6499630.325849508,1456787.725953582
2020-12-21 00:00:00 UTC,6.945228070796786,6712518.426219692,1178754.9230106196
2020-12-22 00:00:00 UTC,4.981956710754205,5219052.100714702,869948.1464551626
2020-12-23 00:00:00 UTC,6.016038392489701,6255839.472364137,940640.0391493413
2020-12-24 00:00:00 UTC,4.498791409296922,4660521.4107978325,576000.2414082645
2020-12-25 00:00:00 UTC,4.534583130036248,4857706.4007457625,573226.4604018345
2020-12-26 00:00:00 UTC,4.047898111690665,4470498.363711964,778414.5506260596
2020-12-27 00:00:00 UTC,3.990865101355993,4585225.250212498,360270.98754757224
2020-12-28 00:00:00 UTC,4.0568597101840425,4664590.328484444,281717.58610023995
2020-12-29 00:00:00 UTC,3.582423491087628,4115272.8966260618,229017.82149940563
2020-12-30 00:00:00 UTC,3.410255938267952,3793262.7528395853,210956.88498903107
2020-12-31 00:00:00 UTC,2.432696097548414,3124139.7314206813,402717.66250802064
2021-01-01 00:00:00 UTC,2.225730297851044,2577391.744043041,242919.66614867252
2021-01-02 00:00:00 UTC,2.185658968726642,2544830.3149489146,229735.55772157368
2021-01-03 00:00:00 UTC,2.2640305543516885,2673334.7216076474,107681.2000900468
2021-01-04 00:00:00 UTC,2.2877954953850805,2670659.1138751716,133810.12148065708
2021-01-05 00:00:00 UTC,2.2361602516410186,2636686.324018281,61275.425141612155
2021-01-06 00:00:00 UTC,4.7104374439943815,5401947.422354976,424015.7639927159
2021-01-07 00:00:00 UTC,5.90705702501733,6865330.717901536,421542.62011031277
2021-01-08 00:00:00 UTC,2.941992719822638,3638111.706880154,896189.8455576948
2021-01-09 00:00:00 UTC,3.0361928917794794,3705893.893628419,260913.02968657517
2021-01-10 00:00:00 UTC,3.0699042904861527,3784930.471196115,192774.82789195803
2021-01-11 00:00:00 UTC,3.115388408129906,3862957.123893132,254034.94848089752
2021-01-12 00:00:00 UTC,3.429838507128112,4122921.383748278,270215.7374303182
2021-01-13 00:00:00 UTC,3.4722120835983996,4313811.229945352,208760.70083155506
2021-01-14 00:00:00 UTC,5.741028536377057,6779044.057393857,711352.871751449
2021-01-15 00:00:00 UTC,4.5633359612604725,5542546.3264953755,622927.9434276929
2021-01-16 00:00:00 UTC,3.856275761202114,4892961.813369615,276026.23563275626
2021-01-17 00:00:00 UTC,4.0877374972470815,5515031.828365333,325217.62894269155
2021-01-18 00:00:00 UTC,4.18219624893996,5356264.201492995,293495.5266514936
2021-01-19 00:00:00 UTC,5.750845698146936,7263254.376743883,709320.1315077812
2021-01-20 00:00:00 UTC,6.010976581602023,7781884.372508979,666268.8397277187
2021-01-21 00:00:00 UTC,5.9347464905703164,7759344.392114263,569592.7639186496
2021-01-22 00:00:00 UTC,5.138535919231289,6685587.7571641905,166290.28795237927
2021-01-23 00:00:00 UTC,5.187897335242013,6761821.014210939,261752.1763816543
2021-01-24 00:00:00 UTC,6.044002848872489,7925308.8030667445,320624.5285555128
2021-01-25 00:00:00 UTC,6.203555521601682,8276267.0355703,243938.00372383086
2021-01-26 00:00:00 UTC,6.142055827517379,8488838.243457388,238288.80618318132
2021-01-27 00:00:00 UTC,6.560866214385513,9049804.708646135,501204.6642196805
2021-01-28 00:00:00 UTC,8.624831974477464,11767439.437522994,943561.0545692976
2021-01-29 00:00:00 UTC,7.643685176607493,10600878.686363334,431862.53479027376
2021-01-30 00:00:00 UTC,7.707396942631038,10574449.739767244,480133.19104221504
2021-01-31 00:00:00 UTC,9.071797834879094,12434588.055342047,1080437.7289032757
2021-02-01 00:00:00 UTC,11.479720887108185,15299155.063778577,2631698.1854400965
2021-02-02 00:00:00 UTC,15.224238941786247,22100810.34917772,2311562.005039644
2021-02-03 00:00:00 UTC,12.52452443329368,17680796.001444567,1602569.9523804763
2021-02-04 00:00:00 UTC,14.819350138647767,22849439.454114433,1308786.3200776246
2021-02-05 00:00:00 UTC,16.03344288141773,24377781.79645912,1303322.2395272932
2021-02-06 00:00:00 UTC,15.771102611329097,25945657.677187636,1289040.2473150855
2021-02-07 00:00:00 UTC,13.79715677254678,21584247.17460354,1083418.4388060947
2021-02-08 00:00:00 UTC,15.359402288231339,25821695.507717762,1306473.6283736278
