snapped_at,price,market_cap,total_volume
2020-09-11 00:00:00 UTC,15.280487539975304,0.0,1256388.1321291998
2020-09-12 00:00:00 UTC,15.280487539975304,0.0,1256388.1321291998
2020-09-13 00:00:00 UTC,6.506114571919189,0.0,943382.0986460089
2020-09-14 00:00:00 UTC,73.20535517140662,0.0,41702109.802119896
2020-09-15 00:00:00 UTC,55.30722375665394,0.0,21066496.41675748
2020-09-16 00:00:00 UTC,61.597883379887534,0.0,21971371.86050364
2020-09-17 00:00:00 UTC,59.188806291248504,0.0,23416711.45403096
2020-09-18 00:00:00 UTC,23.537513174511332,0.0,14664853.454920594
2020-09-19 00:00:00 UTC,28.363717732168055,0.0,22478595.70467075
2020-09-20 00:00:00 UTC,31.920037898480544,0.0,14677733.18318298
2020-09-21 00:00:00 UTC,28.73725399960637,0.0,9445345.648568278
2020-09-22 00:00:00 UTC,28.0386226968296,0.0,9610902.715718312
2020-09-23 00:00:00 UTC,33.62000195534488,0.0,10559117.257242218
2020-09-24 00:00:00 UTC,31.241398158519196,0.0,8244135.212327739
2020-09-25 00:00:00 UTC,36.60467629485607,0.0,13288719.81298088
2020-09-26 00:00:00 UTC,40.33394737056416,0.0,10389676.851638762
2020-09-27 00:00:00 UTC,55.16126801406263,0.0,16748207.785955274
2020-09-28 00:00:00 UTC,48.178170056125865,0.0,9447699.14989529
2020-09-29 00:00:00 UTC,39.8777079956822,0.0,833006.7913628998
2020-09-30 00:00:00 UTC,33.81275110558965,24525711.149887703,669292.5873534989
2020-10-01 00:00:00 UTC,31.68291343124695,23458464.46542058,686301.1892157778
2020-10-02 00:00:00 UTC,29.663099897235238,22232324.66550905,4855689.123937864
2020-10-03 00:00:00 UTC,28.484801539955406,21911683.71444543,7102291.013447851
2020-10-04 00:00:00 UTC,26.21316746988976,20627650.268878795,4350466.61650358
2020-10-05 00:00:00 UTC,23.18248401876289,18461110.15112136,3829843.9153635465
2020-10-06 00:00:00 UTC,19.881813726860283,16109212.111672316,5039422.244993376
2020-10-07 00:00:00 UTC,18.757422422887416,15344942.260409687,6981305.971326954
2020-10-08 00:00:00 UTC,18.256230230367358,15309764.9878308,2789086.9730599807
2020-10-09 00:00:00 UTC,25.71312505089607,21702921.440395374,5607791.475959617
