snapped_at,price,market_cap,total_volume
2020-09-21 00:00:00 UTC,10923.32666818137,202032519471.26855,20161733906.963223
2020-09-22 00:00:00 UTC,10439.522488792423,193677795064.08533,23757059692.357033
2020-09-23 00:00:00 UTC,10527.58784673943,194731087415.28983,19866578108.977962
2020-09-24 00:00:00 UTC,10223.784106392732,189120580778.46335,19981974722.351273
2020-09-25 00:00:00 UTC,10726.530083321983,198514026300.17914,21348447554.09249
2020-09-26 00:00:00 UTC,10681.993848113701,197616950282.06653,19119761059.475536
2020-09-27 00:00:00 UTC,10743.19287975935,198687083452.04324,16886146730.050009
2020-09-28 00:00:00 UTC,10765.300521660893,199236216251.43555,17639951627.948776
2020-09-29 00:00:00 UTC,10672.02854425897,197720212770.89465,19869963340.485493
2020-09-30 00:00:00 UTC,10837.516586513004,200532996047.58585,18308943800.639038
2020-10-01 00:00:00 UTC,10770.881347466415,199310441688.83572,18558607662.6852
2020-10-02 00:00:00 UTC,10627.976063963179,196617081790.5188,20889752499.95891
2020-10-03 00:00:00 UTC,10572.674843011133,195660035179.73257,21258724984.475838
2020-10-04 00:00:00 UTC,10546.65625537982,195188285650.34625,16039831144.937496
2020-10-05 00:00:00 UTC,10670.700811335208,197494664453.7935,16029160487.55924
2020-10-06 00:00:00 UTC,10784.94940309411,199530129891.0881,17853484006.269306
2020-10-07 00:00:00 UTC,10605.95779130622,196314284797.01337,19419734685.095844
2020-10-08 00:00:00 UTC,10668.011010796896,197575523784.584,17222472599.6063
2020-10-09 00:00:00 UTC,10888.666546835811,201518932273.67853,19767968267.462948
2020-10-10 00:00:00 UTC,11063.2523862591,204809205392.17957,19254933802.105747
2020-10-11 00:00:00 UTC,11286.541942043945,209268690952.5854,19496631246.27072
2020-10-12 00:00:00 UTC,11377.814876756858,210799352797.1382,16270141989.732687
2020-10-13 00:00:00 UTC,11543.183760771468,213726225963.20517,20957733313.86495
2020-10-14 00:00:00 UTC,11426.105544220427,211576163357.66504,19556025069.397404
2020-10-15 00:00:00 UTC,11435.57243757972,211756280001.1405,20441486195.023685
2020-10-16 00:00:00 UTC,11495.584995733887,212878404236.874,20511481706.663586
2020-10-17 00:00:00 UTC,11319.097785677623,209993205751.02322,20436703034.239178
2020-10-18 00:00:00 UTC,11365.814131026178,210421523306.69058,15650920221.099894
2020-10-19 00:00:00 UTC,11495.899975689872,212752326976.49207,15569792414.423223
2020-10-20 00:00:00 UTC,11752.146863919786,217391050812.65872,18121468516.27194
2020-10-21 00:00:00 UTC,11908.708923246453,220404884318.97812,21431994055.82887
2020-10-22 00:00:00 UTC,12806.435726727443,236717318526.15692,29314287990.069
2020-10-23 00:00:00 UTC,12951.044060038126,240257678153.83536,25070864646.764915
2020-10-24 00:00:00 UTC,12928.072296348406,239590543523.72256,21379873277.585674
2020-10-25 00:00:00 UTC,13106.04601925958,242785151288.07916,19302801174.758503
2020-10-26 00:00:00 UTC,13021.410842124118,241326618198.73062,18998745579.318
2020-10-27 00:00:00 UTC,13060.79221208406,242141178089.60794,21507619985.694366
2020-10-28 00:00:00 UTC,13655.185415883081,253004886697.36078,23918511528.069115
2020-10-29 00:00:00 UTC,13282.999348292438,245661872194.44214,26825856788.112816
2020-10-30 00:00:00 UTC,13441.878496031612,249545455596.3296,22860841953.831577
2020-10-31 00:00:00 UTC,13537.174271524887,250845436637.92026,23482756915.113663
2020-11-01 00:00:00 UTC,13778.637638352931,255329261020.6163,22691200479.405403
2020-11-02 00:00:00 UTC,13720.361465146289,254260250527.50497,19771957707.937115
2020-11-03 00:00:00 UTC,13558.361795524168,251266177558.48047,22630851230.49477
2020-11-04 00:00:00 UTC,13989.976358180447,259277183164.55063,22602862338.46403
2020-11-05 00:00:00 UTC,14101.716050813722,261103557610.74826,25857225138.46526
2020-11-06 00:00:00 UTC,15553.331701081443,288118007577.42645,36313255719.023285
2020-11-07 00:00:00 UTC,15548.312145063144,288563189165.38806,34523587704.57108
2020-11-08 00:00:00 UTC,14818.45891122149,274687727889.983,30369855794.73288
2020-11-09 00:00:00 UTC,15496.316149147417,287116472704.3936,24082570971.891495
2020-11-10 00:00:00 UTC,15335.342198178862,284292217075.7686,29501754042.78257
2020-11-11 00:00:00 UTC,15278.70965979927,283242342238.5137,21918753732.66584
2020-11-12 00:00:00 UTC,15686.905986213233,291215273242.1888,23990613793.268227
2020-11-13 00:00:00 UTC,16265.149252483357,301529322417.4614,28001128791.211353
2020-11-14 00:00:00 UTC,16326.81487507908,302672502422.09,24826304419.55837
2020-11-15 00:00:00 UTC,16095.561510630652,298290647831.24426,22096608221.167004
2020-11-16 00:00:00 UTC,15984.673784156614,296277008765.18964,19184714602.510406
2020-11-17 00:00:00 UTC,16714.40386322188,309857769717.0289,24606359052.384533
2020-11-18 00:00:00 UTC,17651.82042768171,327448838765.29767,31572384445.72333
2020-11-19 00:00:00 UTC,17829.934958345126,330792375072.03064,40089857655.31074
2020-11-20 00:00:00 UTC,17819.75743096837,330526082018.5286,30586797551.711708
2020-11-21 00:00:00 UTC,18628.813489036198,345552251091.15924,28731271104.013725
2020-11-22 00:00:00 UTC,18689.528655825852,346623937352.1668,31201880851.778336
2020-11-23 00:00:00 UTC,18390.61184379203,342078349285.0962,33010231293.95878
2020-11-24 00:00:00 UTC,18360.693300385865,340635146714.39825,33389683851.4282
2020-11-25 00:00:00 UTC,19091.524181728702,354209935573.8031,49429532567.3455
2020-11-26 00:00:00 UTC,18753.288921684914,348158099247.1633,32146102840.277466
2020-11-27 00:00:00 UTC,17138.029512395206,317999016791.45123,48738957776.520256
2020-11-28 00:00:00 UTC,17140.27555252362,318057301370.37897,30680336583.342796
