snapped_at,price,market_cap,total_volume
2021-01-24 00:00:00 UTC,84.76724143209698,0.0,6557.955320466305
2021-01-25 00:00:00 UTC,84.76724143209698,0.0,6557.955320466305
2021-01-26 00:00:00 UTC,49.1072534592782,0.0,135241.08894919077
2021-01-27 00:00:00 UTC,49.2647405001446,0.0,44831.046177200675
2021-01-28 00:00:00 UTC,62.441794271847975,0.0,111184.55040097465
2021-01-29 00:00:00 UTC,77.03942318539092,0.0,187921.63005657386
2021-01-30 00:00:00 UTC,77.49278806297102,0.0,80521.45145979575
2021-01-31 00:00:00 UTC,105.61549580082716,0.0,336446.59713866765
2021-02-01 00:00:00 UTC,214.20400315740895,0.0,898692.4167335957
2021-02-02 00:00:00 UTC,337.03665780795774,0.0,1324891.617179766
2021-02-03 00:00:00 UTC,324.1675251965479,0.0,632851.1789781039
2021-02-04 00:00:00 UTC,467.57514566543864,0.0,2826982.447257386
2021-02-05 00:00:00 UTC,473.0203208518508,0.0,874486.1886299305
2021-02-06 00:00:00 UTC,627.0103891390102,0.0,903064.8732368641
2021-02-07 00:00:00 UTC,801.7315124073519,0.0,1660790.1712935027
2021-02-08 00:00:00 UTC,851.0842193217821,0.0,1377787.6144460486
2021-02-09 00:00:00 UTC,1759.9701974552033,0.0,6499339.144714503
2021-02-10 00:00:00 UTC,2602.2855167304533,30559714.34746126,11293278.582079545
2021-02-11 00:00:00 UTC,3673.77760593233,44812611.080566905,26157335.317626834
2021-02-12 00:00:00 UTC,2958.451014801793,36719382.134382136,9993277.110870296
2021-02-13 00:00:00 UTC,3840.803508750664,48417700.45369137,19935786.59665103
2021-02-14 00:00:00 UTC,5277.804366110916,69284968.0468983,20153937.87953428
2021-02-15 00:00:00 UTC,7256.932918535523,94897324.16716994,29488834.996358473
2021-02-16 00:00:00 UTC,7222.800131737619,97205027.49599667,28194405.7041912
2021-02-17 00:00:00 UTC,6764.026651082371,91243424.0559523,23036450.71632527
2021-02-18 00:00:00 UTC,8262.79200832494,111375658.18833727,16713492.118029691
2021-02-19 00:00:00 UTC,7883.659757325416,106272970.67937933,12301231.668231774
2021-02-20 00:00:00 UTC,13730.640575873715,183727291.1886926,39658354.3722577
2021-02-21 00:00:00 UTC,8316.884471608842,112843234.51687063,24547711.516357858
2021-02-22 00:00:00 UTC,9534.30722344443,128493854.6994045,20097360.330427572
2021-02-23 00:00:00 UTC,8239.84803595374,111048428.7388544,21711606.711943537
2021-02-24 00:00:00 UTC,6107.647117531684,82162401.27008744,19521775.785543118
2021-02-25 00:00:00 UTC,6542.254867767032,87391871.30693041,11226490.132181574
2021-02-26 00:00:00 UTC,5167.000099085282,71086432.39120266,7197519.084803689
2021-02-27 00:00:00 UTC,4515.152990239496,60758996.08613222,10511850.05245629
2021-02-28 00:00:00 UTC,3756.8072677867863,50162666.43551296,6398516.095206814
2021-03-01 00:00:00 UTC,3133.9092443878844,42398220.97174301,7519975.78199372
2021-03-02 00:00:00 UTC,5142.587869082193,69682410.97017783,16585298.534142422
2021-03-03 00:00:00 UTC,3972.78043846255,53862728.96571075,7245827.6875934545
2021-03-04 00:00:00 UTC,3832.8611108175883,51947689.70232432,6069473.073255145
2021-03-05 00:00:00 UTC,3131.8014038270358,42199348.04246812,8519969.205781065
2021-03-06 00:00:00 UTC,3322.2837562385544,44559244.113765575,7005910.459594286
2021-03-07 00:00:00 UTC,2723.043556251539,36142337.93261331,9742731.072247481
2021-03-08 00:00:00 UTC,2619.063747692728,35186557.099274,8901186.32989457
2021-03-09 00:00:00 UTC,2153.695214229559,29040671.33366141,12604889.353318805
2021-03-10 00:00:00 UTC,3658.92690188565,48605158.5676229,22903571.821575392
2021-03-11 00:00:00 UTC,3263.615302479532,44032130.271321334,11039597.508228844
2021-03-12 00:00:00 UTC,3300.789610936135,44626486.83594917,7035064.703395754
2021-03-13 00:00:00 UTC,2837.118371675778,38235843.17890459,5835685.19700332
2021-03-14 00:00:00 UTC,2927.112217817987,39485666.46668046,4553444.607387659
2021-03-15 00:00:00 UTC,2754.021599227355,37560523.49390677,2936858.529759181
2021-03-16 00:00:00 UTC,2617.540651405643,52962689.082875654,2790949.4324531746
2021-03-17 00:00:00 UTC,3502.0557512930113,70651148.30648482,22218777.251184274
2021-03-18 00:00:00 UTC,4369.642651332507,90340784.48559576,22286554.351729106
2021-03-19 00:00:00 UTC,4360.250600816963,91382982.41011108,9267340.741260173
2021-03-20 00:00:00 UTC,4276.941034415144,90201932.62694941,6392722.298945102
2021-03-21 00:00:00 UTC,4260.116016129063,90043202.44978608,6040703.669802764
2021-03-22 00:00:00 UTC,4172.545626622525,88196996.51576075,4031433.578735169
2021-03-23 00:00:00 UTC,3714.9422240745916,79641900.45313914,4964712.297353491
2021-03-24 00:00:00 UTC,3693.760649122077,77768883.21094733,5159789.122046705
2021-03-25 00:00:00 UTC,3628.0069561946325,76149196.3502102,6884764.606429232
2021-03-26 00:00:00 UTC,3221.0438482954146,68236562.5707195,6692809.943292931
2021-03-27 00:00:00 UTC,4134.044125383925,93060269.54271637,11200705.525388854
2021-03-28 00:00:00 UTC,4421.5781386665185,101948881.9810867,6382722.04295472
2021-03-29 00:00:00 UTC,4020.5772470866127,92686160.89511012,4699779.065956254
2021-03-30 00:00:00 UTC,3928.4886534083403,91088792.7426767,5891685.636689633
2021-03-31 00:00:00 UTC,5002.123287305736,115166946.08215638,16451645.245319873
2021-04-01 00:00:00 UTC,4679.33342557488,111483574.68244806,4642327.914853255
2021-04-02 00:00:00 UTC,5052.528912033744,121388118.95456135,6556230.8143756995
2021-04-03 00:00:00 UTC,4604.195641360359,112666925.43080072,99774905.00628008
2021-04-04 00:00:00 UTC,3796.4168269945,93507735.23236734,21400586.168451067
2021-04-05 00:00:00 UTC,4146.9210310484805,102533564.77546273,12535055.255708292
2021-04-06 00:00:00 UTC,3824.6258869453304,95531023.30500683,9804153.460903473
2021-04-07 00:00:00 UTC,3914.680845976913,99242896.23780651,12651242.462695528
2021-04-08 00:00:00 UTC,3436.0310919647363,87315665.87319861,14392956.037730195
2021-04-09 00:00:00 UTC,3519.7797806022213,89692128.90068758,8023651.754422927
2021-04-10 00:00:00 UTC,3921.043904554654,99624634.72798188,15447965.24287877
2021-04-11 00:00:00 UTC,4036.5677378840464,102861081.21250348,20786327.05088719
2021-04-12 00:00:00 UTC,4053.0660662015353,103115053.16416135,12482758.642394336
2021-04-13 00:00:00 UTC,4096.391728490859,104381525.81271322,25182509.723186675
2021-04-14 00:00:00 UTC,3814.373934091062,97148976.71341243,12281896.018166147
2021-04-15 00:00:00 UTC,3866.289825922542,98436107.30245948,21418460.391038492
2021-04-16 00:00:00 UTC,3812.345841887896,96988662.70081711,12710766.272135055
2021-04-17 00:00:00 UTC,3547.1140372483696,90452819.93829429,13944710.570986606
2021-04-18 00:00:00 UTC,3427.342513730648,87343734.52411698,11496142.669946529
2021-04-19 00:00:00 UTC,3067.0170272480873,77984704.06438711,12195458.56382507
2021-04-20 00:00:00 UTC,3155.439735384719,80407901.95006302,12665889.531512106
2021-04-21 00:00:00 UTC,3139.6720461690584,80967937.20418414,13070683.676587634
2021-04-22 00:00:00 UTC,2899.079666939355,73840179.82048662,33487533.589859396
2021-04-23 00:00:00 UTC,2313.5910451171094,58806765.40164384,17409899.468216095
2021-04-24 00:00:00 UTC,2266.8693163957428,57678543.45976982,11410837.096076291
2021-04-25 00:00:00 UTC,2117.043049128853,54270422.725443,7213353.2083907705
2021-04-26 00:00:00 UTC,2117.620119823806,54058282.74211573,6686372.054841897
2021-04-27 00:00:00 UTC,2172.1517262344805,55211039.13505811,8081194.977184409
2021-04-28 00:00:00 UTC,2572.4974057213135,65537486.41528479,16019323.64594285
2021-04-29 00:00:00 UTC,2499.0769065226405,63621931.10121706,13729399.457109755
2021-04-30 00:00:00 UTC,3512.932004798167,89494926.49692824,84192864.09875399
2021-05-01 00:00:00 UTC,3388.9342586567323,86805691.45789398,52250952.93234394
2021-05-02 00:00:00 UTC,3351.9899965023683,86091104.33651778,18019179.019586977
2021-05-03 00:00:00 UTC,3590.860105313615,91963184.85332002,23287022.924131837
2021-05-04 00:00:00 UTC,4305.918449018471,108756872.24753492,45177262.20141482
2021-05-05 00:00:00 UTC,3434.88063286012,88796327.82156,31030298.354267508
2021-05-06 00:00:00 UTC,3482.3612844905183,88691130.86788194,13976481.128507577
2021-05-07 00:00:00 UTC,3190.7926714011837,81405449.91764261,16122162.352178015
